"xmlns","series","url","limit","offset","total","RaceTable__season","RaceTable__Races__season","RaceTable__Races__round","RaceTable__Races__url","RaceTable__Races__raceName","RaceTable__Races__Circuit__circuitId","RaceTable__Races__Circuit__url","RaceTable__Races__Circuit__circuitName","RaceTable__Races__Circuit__Location__lat","RaceTable__Races__Circuit__Location__long","RaceTable__Races__Circuit__Location__locality","RaceTable__Races__Circuit__Location__country","RaceTable__Races__date","RaceTable__Races__time","RaceTable__Races__Results__number","RaceTable__Races__Results__position","RaceTable__Races__Results__positionText","RaceTable__Races__Results__points","RaceTable__Races__Results__Driver__driverId","RaceTable__Races__Results__Driver__permanentNumber","RaceTable__Races__Results__Driver__code","RaceTable__Races__Results__Driver__url","RaceTable__Races__Results__Driver__givenName","RaceTable__Races__Results__Driver__familyName","RaceTable__Races__Results__Driver__dateOfBirth","RaceTable__Races__Results__Driver__nationality","RaceTable__Races__Results__Constructor__constructorId","RaceTable__Races__Results__Constructor__url","RaceTable__Races__Results__Constructor__name","RaceTable__Races__Results__Constructor__nationality","RaceTable__Races__Results__grid","RaceTable__Races__Results__laps","RaceTable__Races__Results__status","RaceTable__Races__Results__Time__millis","RaceTable__Races__Results__Time__time","RaceTable__Races__Results__FastestLap__rank","RaceTable__Races__Results__FastestLap__lap","RaceTable__Races__Results__FastestLap__Time__time","RaceTable__Races__Results__FastestLap__AverageSpeed__units","RaceTable__Races__Results__FastestLap__AverageSpeed__speed"
"","","","","","","","","","","","","","","","","","","","","18","14","14","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","18","56","Finished","5791870","+55.490","17","54","1:38.500","kph","199.224"
"","","","","","","","","","","","","","","","","","","","","35","15","15","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","16","56","Finished","5794621","+58.241","18","47","1:38.624","kph","198.973"
"","","","","","","","","","","","","","","","","","","","","9","16","16","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","20","56","Finished","5798984","+1:02.604","16","52","1:38.386","kph","199.455"
"","","","","","","","","","","","","","","","","","","","","8","17","17","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","10","56","Finished","5801676","+1:05.296","8","51","1:37.410","kph","201.453"
"","","","","","","","","","","","","","","","","","","","","10","18","18","0","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","17","56","Finished","5802710","+1:06.330","15","54","1:38.367","kph","199.493"
"","","","","","","","","","","","","","","","","","","","","16","19","19","0","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","19","56","Finished","5818955","+1:22.575","19","23","1:38.808","kph","198.603"
"","","","","","","","","","","","","","","","","","","","","28","20","20","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","15","51","Collision damage","","","20","50","1:39.376","kph","197.468"
"","","","","","","","2018","4","https://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix","Azerbaijan Grand Prix","BAK","http://en.wikipedia.org/wiki/Baku_City_Circuit","Baku City Circuit","40.3725","49.8533","Baku","Azerbaijan","2018-04-29","12:10:00Z","44","1","1","25","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","2","51","Finished","6224291","1:43:44.291","2","35","1:45.412","kph","205.012"
"","","","","","","","","","","","","","","","","","","","","7","2","2","18","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","6","51","Finished","6226751","+2.460","7","50","1:46.523","kph","202.874"
"","","","","","","","","","","","","","","","","","","","","11","3","3","15","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","8","51","Finished","6228315","+4.024","6","51","1:46.206","kph","203.480"
"","","","","","","","","","","","","","","","","","","","","5","4","4","12","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1","51","Finished","6229620","+5.329","4","38","1:45.530","kph","204.783"
"","","","","","","","","","","","","","","","","","","","","55","5","5","10","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","9","51","Finished","6231806","+7.515","9","50","1:46.856","kph","202.242"
"","","","","","","","","","","","","","","","","","","","","16","6","6","8","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","13","51","Finished","6233449","+9.158","11","31","1:47.403","kph","201.212"
"","","","","","","","","","","","","","","","","","","","","14","7","7","6","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","12","51","Finished","6235222","+10.931","12","32","1:47.449","kph","201.126"
"","","","","","","","","","","","","","","","","","","","","18","8","8","4","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","10","51","Finished","6236837","+12.546","8","50","1:46.815","kph","202.319"
"","","","","","","","","","","","","","","","","","","","","2","9","9","2","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","16","51","Finished","6238443","+14.152","13","50","1:47.666","kph","200.720"
"","","","","","","","","","","","","","","","","","","","","28","10","10","1","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","19","51","Finished","6242321","+18.030","17","51","1:48.288","kph","199.567"
"","","","","","","","","","","","","","","","","","","","","9","11","11","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","18","51","Finished","6242803","+18.512","14","51","1:47.925","kph","200.239"
"","","","","","","","","","","","","","","","","","","","","10","12","12","0","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","17","51","Finished","6249011","+24.720","15","38","1:48.035","kph","200.035"
